Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"274987000","2244800","3271","2080.6",""
"275827000","2244800","3271","2086.1",""
"276661000","2244800","3272","2092.8",""
"277745000","2214000","3271","2100.7",""
"278637000","2214000","3271","2107.4",""
"279471000","2214000","3271","2113.8",""
"280305000","2214000","3271","2119.3",""
"281140000","2214000","3272","2126.0",""
"282223000","2214000","3272","2133.5",""
"283113000","2214000","3272","2140.2","0x3D3BD36C0004870"
"283947000","2214000","3272","2146.1","0x3D39B3280004870"
"284781000","2225600","3272","2152.4",""
"285620000","2225600","3272","2158.7",""
"286761000","2225600","3271","2166.6",""
"287593000","2225600","3271","2173.3",""
"288427000","2225600","3271","2178.8",""
"289262000","2225600","3271","2185.1",""
"290094000","2225600","3271","2191.5",""
"291177000","2225600","3271","2199.4",""
"292069000","2230800","3271","2206.1",""
"292901000","2230800","3270","2211.6",""
"293735000","2230800","3270","2218.3",""
"294569000","2230800","3270","2224.2",""
"295659000","2230800","3270","2232.5",""
"296551000","2230800","3270","2238.8",""
"297385000","2230800","3270","2245.1",""
"298219000","2230800","3270","2251.4","0x3D3BD36C0004870"
"299052000","2208000","3270","2256.9","0x3D3BD3E80004870"
"300137000","2208000","3271","2265.6",""
"301029000","2208000","3270","2271.5",""
"301863000","2208000","3270","2277.9",""
"302696000","2208000","3271","2284.2",""
"303531000","2208000","3270","2290.1",""
"304672000","2208000","3270","2299.2",""
"305511000","2208000","3270","2304.7",""
"306345000","2245700","3271","2311.0",""
"307179000","2245700","3270","2316.9",""
"308012000","2245700","3270","2323.2",""
"309100000","2245700","3270","2331.1","0x23D39B7280004808"
"309991000","2245700","3270","2337.4","0x3D39F2A80004870"
"310824000","2245700","3270","2344.1",""
"311659000","2245700","3270","2349.6",""
"312492000","2245700","3270","2356.4",""
"313577000","2215000","3271","2363.8",""
"314469000","2215000","3271","2370.6",""
"315303000","2215000","3271","2376.9","0x23D39B7280004808"
"316142000","2215000","3271","2382.4","0x3D39F3480004870"
"316974000","2215000","3271","2389.1",""
"318058000","2215000","3271","2396.6",""
"318949000","2215000","3271","2403.3",""
"319782000","2215000","3270","2409.2",""
"320617000","2224400","3270","2415.5",""
"321450000","2224400","3270","2422.2",""
"322534000","2224400","3270","2429.3",""
"323426000","2224400","3270","2436.4",""
"324260000","2224400","3270","2442.0",""
"325093000","2224400","3270","2448.7",""
"325933000","2224400","3269","2455.8",""
"327018000","2224400","3269","2464.5",""
"327909000","2328300","3269","2471.6",""
"328744000","2328300","3269","2478.7",""
"329578000","2328300","3269","2485.4",""
"330412000","2328300","3269","2492.1",""
"331496000","2328300","3270","2500.8",""
"332388000","2328300","3270","2508.3",""
"333221000","2328300","3269","2515.0",""
"334055000","2491700","3269","2522.1",""
"334889000","2491700","3270","2528.4",""
"335979000","2491700","3270","2536.3",""
"336870000","2491700","3270","2543.0",""
"337705000","2491700","3270","2549.3",""
"338537000","2491700","3270","2555.2",""
"339371000","2491700","3270","2561.5",""
"340455000","2491700","3270","2569.0",""
"341347000","2245900","3269","2576.1",""
"342181000","2245900","3269","2582.0","0x23D39B7280004808"
"343014000","2245900","3269","2588.0","0x3D39F2080004870"
"343848000","2245900","3270","2594.7",""
"344932000","2245900","3269","2602.2",""
"345829000","2245900","3269","2609.3",""
"346663000","2245900","3268","2614.8",""
"347497000","2245900","3269","2621.1",""
"348331000","2225200","3269","2627.4","0x23D39B7280004808"
"349414000","2225200","3269","2635.3","0x3D39F3680004870"
"350311000","2225200","3269","2642.0",""
"351144000","2225200","3268","2647.9",""
"351978000","2225200","3269","2654.2",""
"352812000","2225200","3269","2660.2",""
"353888000","2225200","3269","2668.0",""
"354786000","2225200","3269","2674.8",""
"355626000","2212000","3269","2680.7",""
"356460000","2212000","3269","2687.4",""
"357293000","2212000","3269","2692.9",""
"358377000","2212000","3269","2701.2",""
